812850: abbau
846818: vergleichbar
856403: verhalt
856407: verhaltnis
856417: verhandl
856423: verhind
856425: verhinder
847482: verhindert
847808: verkauf
392369: verkehr
848355: verlang
856113: verlanger
848399: verlass
856132: verli
848755: verlor
848793: verlust
848989: vermeid
849241: vermiss
849342: vermittlungsausschuss
849763: vernunft
856205: verordn
856228: verpflicht
849937: verpflichtet
856239: verpress
856242: verring
856278: verscharf
856283: verscharft
856284: verschieb
856287: verschied
856297: verschweig
851346: versorg
856306: versorgungssich
851540: versprech
668275: verstand
856328: verstandnis
856333: verstarkt
851672: versteh
856344: versteiger
858634: verstet
856355: verstrom
852055: versuch
852076: versucht
856376: verteil
854833: verteufeln
856380: verteufelt
852639: vertrag
852785: vertrau
852970: vertret
852977: vertretbar
856404: verunsicher
853230: verursacht
843751: verwend
843775: verwendet
844252: verzicht
844816: vielfach
844849: vielfalt
844901: vielleicht
844915: vielmehr
714091: vier
845052: viert
680365: volk
846330: volkswirtschaft
846379: voll
856100: vollig
856105: vollkomm
856109: vollstand
856123: vonseit
846921: voran
846951: vorangebracht
856134: vorangeh
856136: vorangetrieb
856139: vorankomm
856143: vorantreib
856148: voranzubring
847113: voraus
856163: voraussetz
847410: vorbei
847939: vorgab
856195: vorgeh
848151: vorgelegt
856201: vorgenomm
856206: vorgeschlag
856213: vorgeseh
856218: vorgetrag
856225: vorh
856227: vorhab
856241: vorhand
848631: vorhin
848761: vorlag
856259: vorleg
848876: vorlieg
849039: vorn
849065: vornehm
849102: vornherein
849165: vorrang
849285: vorreit
849305: vorreiterroll
801077: vorschlag
849459: vorschrift
849493: vorsicht
849571: vorsorg
849642: vorstell
849792: vorteil
856308: vorubergeh
856314: vorwerf
850069: vorwurf
850767: wach
856332: wachs
850844: wachsend
801189: wachstum
383318: wahl
858684: wahlerinn
851637: wahlkampf
851803: wahlperiod
686870: wahr
852108: wahrheit
856373: wahrschein
383454: wand
688814: wandel
689117: wann
167: warm
801298: warum
692915: wass
853771: wasserkraft
54338: wed
856432: weich
843878: weis
54358: weiss
844131: weiterentwickelt
856451: weitergeh
844270: weitergeht
844325: weiterhin
856122: weitgeh
54426: welt
637887: weltweit
845686: wenig
856178: wenigst
380849: wer
845747: werb
638694: werf
638722: werk
638843: wert
856204: wertschopf
638848: wertvoll
856215: wesent
846603: westerwell
846769: wettbewerb
856237: wettbewerbsfah
647372: wichtig
847290: widerspruch
847334: widerstand
847820: wiederhol
847936: wiederum
9869: wind
54562: windenergi
1169093: windfallprofit
848499: windkraft
856301: windkraftanlag
856312: wirk
848812: wirklich
848850: wirksam
848937: wirkt
848952: wirkung
848964: wirkungsgrad
654447: wirtschaft
849403: wirtschaftskris
849455: wirtschaftsminist
849473: wirtschaftsministerium
856367: wirtschaftspolit
799358: wirtschaftswachstum
849837: wiss
849870: wissenschaft
849883: wissenschaftl
850144: woch
858598: wofur
850265: wohl
799761: wohlstand
9908: word
382188: wort
858689: wortlich
851956: wund
851978: wunderbar
667739: wunsch
852153: wusst
853344: zahl
853349: zahlreich
853355: zehn
856453: zeich
843091: zeig
843116: zeigt
690534: zeit
690540: zeitalt
843363: zeitlich
843406: zeitnah
843433: zeitplan
843460: zeitpunkt
690578: zeitraum
843502: zeitung
780180: zentral
856154: zerstor
844450: zertifikat
844633: zieh
693659: ziel
1168666: zieldreieck
693697: zielt
844943: ziemlich
856211: ziti
856235: zud
845785: zuerst
845990: zugang
846279: zugesagt
856267: zugig
846535: zugleich
846566: zugrund
856276: zugun
700213: zukunft
856289: zukunftsfah
856292: zukunftsweis
847165: zulass
856299: zulast
847256: zuletzt
856307: zumind
856313: zunach
856317: zunehm
856325: zuruck
847669: zurzeit
856349: zusamm
700383: zusammenarbeit
849357: zusammenhang
849810: zusatz
849906: zusatzpunkt
850045: zuschuss
850176: zustand
850268: zustimm
856381: zuverlass
850673: zuvor
850712: zuwander
395483: zwei
851728: zweifel
851943: zweit
856414: zwolf

